DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m udp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:23:47 2023
[Status] Stopping after 1 run through file
> NOERROR www.2-231-117-133.ip207.fastwebnet.it A 0.000210
> NOERROR www.168.117.65.128.dsl.static.ip.kpnqwest.it A 0.000356
> NOERROR www.128-116-161-83.dyn.eolo.it A 0.000252
> NOERROR www.146-241-74-177.dyn.eolo.it A 0.000205
> NOERROR www.195-135-200-227.ip292.fastwebnet.it A 0.000351
> NOERROR www.112.248.93.77.cust.ip.kpnqwest.it A 0.000247
> NOERROR www.2-226-108-39.ip180.fastwebnet.it A 0.000407
> NOERROR www.149.41.168.109.cust.ip.kpnqwest.it A 0.000254
> NOERROR www.2-225-240-62.ip178.fastwebnet.it A 0.000583
> NOERROR www.111-161-129-45.customers.atlantis.it A 0.000651
> NOERROR www.2-230-216-209.ip203.fastwebnet.it A 0.000548
> NOERROR www.217-133-4-190.static.clienti.tiscali.it A 0.000540
> NOERROR www.185-219-235-86.ip300.fastwebnet.it A 0.000831
> NOERROR www.146-241-18-46.dyn.eolo.it A 0.000817
> NOERROR www.128-116-168-155.static.eolo.it A 0.001365
> NOERROR www.143net180.unica.it A 0.001380
> NOERROR www.2-229-133-93.ip196.fastwebnet.it A 0.001359
> NOERROR www.217-133-226-144.static.clienti.tiscali.it A 0.001404
> NOERROR www.2-231-74-170.ip206.fastwebnet.it A 0.001971
> NOERROR www.188-213-47-72.wdsl.neomedia.it A 0.001951
> NOERROR www.2-227-126-17.ip186.fastwebnet.it A 0.001988
> NXDOMAIN fwww.sanasicucine.it A 0.003858
> NXDOMAIN ftech121.mclink.it A 0.003847
> NXDOMAIN fwww.giovannipapa.artistaonline.it A 0.003828
> NOERROR www.146-241-113-164.dyn.eolo.it A 0.003820
