DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m tcp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:24:26 2023
[Status] Stopping after 1 run through file
> NOERROR www.146-241-102-215.dyn.eolo.it A 0.007611
> NXDOMAIN fwww.sangiulianotermevillette.it A 0.007625
> NOERROR www.2-229-92-30.ip196.fastwebnet.it A 0.007813
> NOERROR www.2-228-50-49.ip190.fastwebnet.it A 0.007812
> NXDOMAIN fwww.leonardoanatomie.it A 0.007858
> NOERROR www.2-224-60-42.ip169.fastwebnet.it A 0.008002
> NXDOMAIN fwww.sanificazioneconozono.it A 0.008019
> NOERROR www.2-226-147-178.ip181.fastwebnet.it A 0.008163
> NXDOMAIN fwww.valeriadiubaldo.it A 0.008179
> NOERROR www.123456.el-gringo.it A 0.008453
> NOERROR www.128-116-165-69.dyn.eolo.it A 0.008452
> NOERROR www.128-116-194-92.dyn.eolo.it A 0.008507
> NOERROR www.151-0-162-2.ip281.fastwebnet.it A 0.008506
> NOERROR www.2-227-97-189.ip185.fastwebnet.it A 0.008520
> NOERROR www.151-0-228-224.ip283.fastwebnet.it A 0.008776
> NOERROR www.2-225-91-187.ip175.fastwebnet.it A 0.008775
> NOERROR www.217-133-163-178.static.clienti.tiscali.it A 0.008830
> NOERROR www.2-226-229-101.ip183.fastwebnet.it A 0.008830
> NOERROR www.2-227-75-17.ip185.fastwebnet.it A 0.008829
> NOERROR www.2-226-248-4.ip183.fastwebnet.it A 0.009001
> NOERROR www.2-228-5-112.ip189.fastwebnet.it A 0.009000
> NXDOMAIN fwww.sintonicamente.it A 0.009167
> NOERROR www.2-230-51-118.ip200.fastwebnet.it A 0.009166
> NXDOMAIN fwww.m2squared.it A 0.009376
> NOERROR www.2-229-106-191.ip196.fastwebnet.it A 0.009375
> NOERROR www.2-227-54-117.ip184.fastwebnet.it A 0.009543
> NOERROR www.217-133-242-157.static.clienti.tiscali.it A 0.009499
> NXDOMAIN fwww.heligold.it A 0.009665
> NOERROR www.2-227-141-176.ip186.fastwebnet.it A 0.009665
> NOERROR www.2-224-105-204.ip170.fastwebnet.it A 0.009577
> NOERROR www.146-241-171-10.dyn.eolo.it A 0.009576
> NOERROR www.146-241-11-142.dyn.eolo.it A 0.009698
> NOERROR www.151-0-155-153.ip281.fastwebnet.it A 0.009708
> NOERROR www.213-140-27-215.ip.fastwebnet.it A 0.010266
> NOERROR www.128-116-211-11.static.eolo.it A 0.009982
> NOERROR www.2-231-45-63.ip205.fastwebnet.it A 0.010044
> NOERROR www.195.82.168.109.dsl.static.ip.kpnqwest.it A 0.010021
> NOERROR www.146-241-210-32.dyn.eolo.it A 0.009913
